No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,ROW_IDX,ROW_NUM
47,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 031</a>",10.684799,41.269076,G,-297,-0.000991,SUN,5305,23,176,63,48,13,407,199,302,5,46,46
48,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 033</a>",23.462042,30.660222,G,-179,-0.000598,UUN,2741,22,177,81,27,13,137,130,124,7,47,47
49,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">Large Magellanic Cloud</a>",80.894167,-69.756111,G,278,0.000927,SUN,8103,9,51,32,19,6,824,565,115,0,48,48
50,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 081</a>",148.888221,69.065295,G,-39,-0.000130,UUN,2755,48,294,111,67,8,99,117,200,56,49,49
51,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 095</a>",160.990603,11.703740,G,779,0.002598,S1L,1033,19,318,108,65,12,62,79,150,30,50,50
52,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 096</a>",161.690353,11.820001,G,888,0.002962,S1L,868,21,207,56,44,14,71,91,45,13,51,51
53,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 106</a>",184.739603,47.303973,G,461,0.001538,S1L,1406,35,237,98,88,12,95,103,71,11,52,52
54,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 100</a>",185.728590,15.821635,G,1571,0.005240,UUN,1683,38,324,123,66,13,69,111,166,32,53,53
55,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4535</a>",188.584581,8.197915,G,1964,0.006551,S1L,647,13,112,68,41,8,53,87,82,5,54,54
56,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4881</a>",194.990631,28.246550,G,6740,0.022482,SUN,196,5,62,17,21,7,15,14,2,0,55,55
